trip_distance,duration_minutes,tolls_amount,passenger_count,actual_fare,predicted_fare,error,absolute_error,fare_band
1.5,14.95,0.0,1,10.5,10.67649436923701,-0.17649436923701067,0.17649436923701067,10-20
0.59,7.316666666666666,0.0,2,6.0,6.157242398088415,-0.15724239808841478,0.15724239808841478,0-10
2.0,19.516666666666666,0.0,1,13.0,13.385264631927683,-0.3852646319276829,0.3852646319276829,10-20
2.0,10.333333333333334,0.0,1,9.0,9.268628823289008,-0.26862882328900817,0.26862882328900817,0-10
19.76,1436.6666666666667,5.76,1,52.0,52.855200567022884,-0.8552005670228837,0.8552005670228837,40-60
1.3,9.283333333333333,0.0,1,8.0,7.780007756840064,0.21999224315993615,0.21999224315993615,0-10
0.7,4.683333333333334,0.0,1,5.0,5.0549241806121685,-0.05492418061216853,0.05492418061216853,0-10
0.9,8.033333333333333,0.0,1,7.0,6.761832346597459,0.23816765340254076,0.23816765340254076,0-10
6.44,29.083333333333332,0.0,2,22.5,24.41390577146644,-1.913905771466439,1.913905771466439,20-40
1.82,12.616666666666667,0.0,2,9.5,9.807796803092353,-0.30779680309235324,0.30779680309235324,0-10
2.0,11.45,0.0,1,9.5,9.686687869464519,-0.1866878694645191,0.1866878694645191,0-10
2.3,18.05,0.0,1,13.0,12.873610826958695,0.12638917304130537,0.12638917304130537,10-20
2.52,9.95,0.0,3,10.5,10.116670743526207,0.3833292564737931,0.3833292564737931,10-20
3.24,20.433333333333334,0.0,1,15.0,15.243095456052007,-0.2430954560520071,0.2430954560520071,10-20
1.5,4.85,0.0,2,6.5,6.465726204881632,0.034273795118368255,0.034273795118368255,0-10
2.4,14.4,0.0,1,11.0,11.591263652743729,-0.5912636527437289,0.5912636527437289,10-20
1.0,9.683333333333334,0.0,1,7.5,7.684007213261532,-0.18400721326153224,0.18400721326153224,0-10
1.3,11.583333333333334,0.0,2,9.0,8.85256304010578,0.14743695989422,0.14743695989422,0-10
1.8,11.516666666666667,0.0,2,9.0,9.461009651640522,-0.46100965164052177,0.46100965164052177,0-10
4.33,38.68333333333333,0.0,1,24.5,24.532594403806055,-0.03259440380605483,0.03259440380605483,20-40
4.3,20.283333333333335,0.0,1,16.5,16.99457943564085,-0.4945794356408513,0.4945794356408513,10-20
8.03,44.03333333333333,0.0,1,31.5,33.15889191080123,-1.6588919108012306,1.6588919108012306,20-40
4.94,15.05,0.0,1,17.0,17.10802508854908,-0.10802508854908055,0.10802508854908055,10-20
